spread,order_size,depth,slippage
0.1,14451,1248.98,0.004847
0.1,17618,1254.53,0.004847
0.1,9369,1254.5,0.004847
0.1,455,1254.52,0.004847
0.1,18143,1254.7,0.004847
0.1,15830,1593.9199999999998,0.004847
0.1,10351,1570.8899999999999,0.004847
0.1,7552,1571.2699999999998,0.004847
0.1,10441,1570.5699999999997,0.004847
0.1,7330,1571.33,0.004847
0.1,10443,1570.87,0.004847
0.1,1481,1559.4499999999998,0.004847
0.1,12869,1570.8899999999999,0.004847
0.1,5290,1570.8999999999999,0.004847
0.1,18743,1570.8999999999999,0.004847
0.1,14874,1793.6699999999998,0.004847
0.1,18557,1845.7599999999998,0.004847
0.1,5263,1846.3,0.004847
0.1,15909,1845.24,0.004847
0.1,5232,1677.1000000000001,0.004847
0.1,12582,1852.08,0.004847
0.1,11323,1912.22,0.004847
0.1,6251,4225.75,0.004847
0.1,10054,2911.85,0.004847
0.1,771,2916.65,0.004847
0.1,13262,2669.0499999999997,0.004847
0.1,6488,2714.17,0.004847
0.1,2317,2705.3700000000003,0.004847
0.1,9563,2689.87,0.004847
0.1,8394,2446.4599999999996,0.004847
0.1,6921,2443.7799999999997,0.004847
0.1,19371,1811.06,0.004847
0.1,19329,1791.46,0.004847
0.1,2173,1935.55,0.004847
0.1,2938,2478.22,0.004847
0.1,6212,1897.13,0.004847
0.1,17896,1543.94,0.004847
0.1,12542,1413.2,0.004847
0.1,13327,1371.22,0.004847
0.1,619,1836.86,0.004847
0.1,13564,1809.69,0.004847
0.1,6069,1911.15,0.004847
0.1,17112,1564.53,0.004847
0.1,13013,1600.1200000000001,0.004847
0.1,14064,1852.24,0.004847
0.1,5667,1628.96,0.004847
0.1,17971,1647.5399999999997,0.004847
0.1,6485,1640.89,0.004847
0.1,1360,1672.32,0.004847
0.1,1446,1675.37,0.004847
0.1,1319,1666.1799999999998,0.004847
0.1,13113,1666.6799999999998,0.004847
0.1,18368,1923.8300000000002,0.004847
0.1,11301,1675.27,0.004847
0.1,10360,1675.27,0.004847
0.1,3575,1825.68,0.004846
0.1,19926,1717.92,0.004846
0.1,2284,1593.9499999999998,0.004846
0.1,9569,1588.99,0.004846
0.1,19966,1617.92,0.004846
0.1,10653,1610.66,0.004846
0.1,8080,1610.66,0.004846
0.1,19170,1610.66,0.004846
0.1,3862,1373.15,0.004846
0.1,15301,1331.14,0.004846
0.1,6447,1406.69,0.004846
0.1,6225,1353.8899999999999,0.004846
0.1,2265,1354.0,0.004846
0.1,5984,1366.1,0.004846
0.1,18451,1407.53,0.004846
0.1,13311,1407.55,0.004846
0.1,7861,1835.2800000000002,0.004846
0.1,3969,1350.28,0.004846
0.1,18355,1721.73,0.004846
0.1,1393,1727.46,0.004846
0.1,16280,4564.32,0.004847
0.1,13998,4409.17,0.004847
0.1,1410,4442.64,0.004847
0.1,13453,4436.599999999999,0.004847
0.1,6468,4416.099999999999,0.004847
0.1,13718,4432.28,0.004847
0.1,2697,4473.72,0.004847
0.1,8541,4480.0,0.004847
0.1,3269,4438.76,0.004847
0.1,14771,3706.1,0.004847
0.1,18657,3702.01,0.004847
0.1,6006,3691.08,0.004847
0.1,18175,3652.49,0.004847
0.1,2781,3652.8199999999997,0.004847
0.1,12181,3652.8199999999997,0.004847
0.1,3876,3652.83,0.004847
0.1,8279,3653.3500000000004,0.004847
0.1,956,3627.32,0.004847
0.1,4560,3627.32,0.004847
0.1,11798,3627.32,0.004847
0.1,16229,3609.9,0.004847
0.1,10711,3589.1400000000003,0.004847
0.1,13697,3584.1400000000003,0.004847
